head	relation	tail
Fosinopril	indication	hypertensive disorder
Fosinopril	indication	hypertension
Imidapril	indication	hypertensive disorder
Imidapril	indication	hypertension
Cilazapril	indication	hypertensive disorder
Cilazapril	indication	hypertension
Amlodipine	indication	hypertensive disorder
Amlodipine	indication	hypertension
Trandolapril	indication	hypertension
Ramipril	indication	hypertensive disorder
Ramipril	indication	hypertension
Aranidipine	indication	hypertensive disorder
Aranidipine	indication	hypertension
Benazepril	indication	hypertensive disorder
Benazepril	indication	hypertension
Azilsartan medoxomil	indication	hypertensive disorder
Azilsartan medoxomil	indication	hypertension
Hydralazine	indication	hypertensive disorder
Hydralazine	indication	hypertension
Quinapril	indication	hypertensive disorder
Quinapril	indication	hypertension
Spirapril	indication	hypertensive disorder
Spirapril	indication	hypertension
Delapril	indication	hypertensive disorder
Delapril	indication	hypertension
Perindopril	indication	hypertensive disorder
Perindopril	indication	hypertension
Zofenopril	indication	hypertensive disorder
Zofenopril	indication	hypertension
Chlorthalidone	indication	hypertensive disorder
Chlorthalidone	indication	hypertension
Lisinopril	indication	hypertensive disorder
Lisinopril	indication	hypertension
Enalaprilat	indication	hypertensive disorder
Enalaprilat	indication	hypertension
Enalapril	indication	hypertensive disorder
Isradipine	indication	hypertensive disorder
Isradipine	indication	hypertension
Doxazosin	indication	hypertensive disorder
Doxazosin	indication	hypertension
Ketanserin	indication	hypertension
Bendroflumethiazide	indication	hypertension
Carvedilol	indication	hypertensive disorder
Carvedilol	indication	hypertension
Felodipine	indication	hypertensive disorder
Felodipine	indication	hypertension
Bisoprolol	indication	hypertension
Oxprenolol	indication	hypertensive disorder
Oxprenolol	indication	hypertension
Nisoldipine	indication	hypertensive disorder
Nisoldipine	indication	hypertension
Betaxolol	indication	hypertensive disorder
Betaxolol	indication	hypertension
Terazosin	indication	hypertensive disorder
Terazosin	indication	hypertension
Captopril	indication	hypertensive disorder
Captopril	indication	hypertension
Pinacidil	indication	hypertensive disorder
Pinacidil	indication	hypertension
Mecamylamine	indication	hypertension
Chlorothiazide	indication	hypertensive disorder
Chlorothiazide	indication	hypertension
Hydrochlorothiazide	indication	hypertensive disorder
Hydrochlorothiazide	indication	hypertension
Talinolol	indication	hypertensive disorder
Talinolol	indication	hypertension
Celiprolol	indication	hypertensive disorder
Celiprolol	indication	hypertension
Torasemide	indication	hypertensive disorder
Torasemide	indication	hypertension
Nicardipine	indication	hypertensive disorder
Nicardipine	indication	hypertension
Piretanide	indication	hypertensive disorder
Piretanide	indication	hypertension
Pargyline	indication	hypertensive disorder
Pargyline	indication	hypertension
Methyldopa	indication	hypertensive disorder
Methyldopa	indication	hypertension
Guanethidine	indication	hypertensive disorder
Guanethidine	indication	hypertension
Rilmenidine	indication	hypertensive disorder
Rilmenidine	indication	hypertension
Furosemide	indication	hypertensive disorder
Propranolol	indication	hypertensive disorder
Propranolol	indication	hypertension
Verapamil	indication	hypertensive disorder
Verapamil	indication	hypertension
Spironolactone	indication	hypertensive disorder
Carteolol	indication	hypertensive disorder
Carteolol	indication	hypertension
Metoprolol	indication	hypertensive disorder
Metoprolol	indication	hypertension
