drug	disease	relation	source_scope	conflict_flag
Rotigotine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Rotigotine	hypertension	contraindication	overlap_with_setting_a	0
Estradiol valerate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Estradiol valerate	hypertension	contraindication	overlap_with_setting_a	0
Synephrine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Synephrine	hypertension	contraindication	overlap_with_setting_a	0
Venlafaxine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Venlafaxine	hypertension	contraindication	overlap_with_setting_a	0
Desvenlafaxine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Desvenlafaxine	hypertension	contraindication	overlap_with_setting_a	0
Guaifenesin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Guaifenesin	hypertension	contraindication	overlap_with_setting_a	0
Milnacipran	hypertensive disorder	contraindication	overlap_with_setting_a	0
Milnacipran	hypertension	contraindication	overlap_with_setting_a	0
Phenyltoloxamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Phenyltoloxamine	hypertension	contraindication	overlap_with_setting_a	0
Mepyramine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Mepyramine	hypertension	contraindication	overlap_with_setting_a	0
Tripelennamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Tripelennamine	hypertension	contraindication	overlap_with_setting_a	0
Methapyrilene	hypertensive disorder	contraindication	overlap_with_setting_a	0
Methapyrilene	hypertension	contraindication	overlap_with_setting_a	0
Antazoline	hypertensive disorder	contraindication	overlap_with_setting_a	0
Antazoline	hypertension	contraindication	overlap_with_setting_a	0
Polyvinyl alcohol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Polyvinyl alcohol	hypertension	contraindication	overlap_with_setting_a	0
Diethylpropion	hypertensive disorder	contraindication	overlap_with_setting_a	0
Diethylpropion	hypertension	contraindication	overlap_with_setting_a	0
Pseudoephedrine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Pseudoephedrine	hypertension	contraindication	overlap_with_setting_a	0
Guaiacol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Guaiacol	hypertension	contraindication	overlap_with_setting_a	0
Salmeterol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Salmeterol	hypertension	contraindication	overlap_with_setting_a	0
Acrivastine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Acrivastine	hypertension	contraindication	overlap_with_setting_a	0
Homatropine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Homatropine	hypertension	contraindication	overlap_with_setting_a	0
Potassium citrate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Potassium citrate	hypertension	contraindication	overlap_with_setting_a	0
Brompheniramine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Brompheniramine	hypertension	contraindication	overlap_with_setting_a	0
Pheniramine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Pheniramine	hypertension	contraindication	overlap_with_setting_a	0
Benzatropine	hypertensive disorder	contraindication	overlap_with_setting_a	0
