colchicine	T	anemia
neomycin	T	pain
vinorelbine	T	esophagitis
methocarbamol	T	pain
orlistat	T	body weight changes
goserelin	T	neoplasm metastasis
carbamazepine	T	sensation disorders
testosterone	T	hiv infections
oxcarbazepine	T	tuberous sclerosis
danazol	T	neoplasm metastasis
amrinone	T	intracranial hemorrhages
vitamin a	T	hyperthyroidism
tacrolimus	T	carcinoma
isoxsuprine	T	tachycardia
bortezomib	T	hemophilia a
zidovudine	T	hepatitis b
prednisone	T	mood disorder
vitamin e	T	acquired immunodeficiency syndrome
minocycline	T	stomatitis
metformin	T	brain edema
dopamine	T	leukemia
octreotide	T	pancreatitis
propylthiouracil	T	leukopenia
gadodiamide	T	meningeal neoplasms
remifentanil	T	pain
paclitaxel	T	kidney diseases
fluoxetine	T	myotonic dystrophy
vincristine	T	uterine diseases
tolvaptan	T	aortic valve stenosis
cyanocobalamin	T	deficiency diseases
dapsone	T	vasculitis central nervous system
tramadol	T	respiratory tract neoplasms
isoflurane	T	arteriosclerosis
dipyridamole	T	infarction
propofol	T	myasthenia gravis
cyclizine	T	heart failure
tirofiban	T	cerebrovascular disorders
furosemide	T	renal insufficiency
morphine	T	gastrointestinal neoplasms
phentolamine	T	hypothermia
amphotericin b	T	neoplasms
flutamide	T	kidney diseases
dexamethasone	T	conjunctivitis
amitriptyline	T	pain postoperative
milrinone	T	infarction
ifenprodil	T	cerebrovascular disorders
lithium	T	respiratory tract neoplasms
perphenazine	T	arrhythmias cardiac
lamotrigine	T	dementia
flutamide	T	genital neoplasms female
moexipril	T	bone diseases metabolic
droperidol	T	nausea
tenoxicam	T	spondylitis ankylosing
clonidine	T	inflammation
ivermectin	T	folliculitis
cefdinir	T	urethral diseases
erythromycin	T	fibrosis
prazosin	T	cardiomegaly
vinorelbine	T	neoplasms neuroepithelial
itraconazole	T	kidney diseases
salicylic acid	T	psoriasis
fludarabine	T	liver neoplasms
vitamin e	T	infarction
gabapentin	T	radiculopathy
dexamethasone	T	genital neoplasms female
dihydroergotamine	T	hematoma
acetazolamide	T	arteriosclerosis
sildenafil	T	alzheimer disease
ropinirole	T	dyskinesias
dapsone	T	liver diseases
acetylsalicylic acid	T	death
nitric oxide	T	death
bupropion	T	hypoactive sexual desire dysfunction
formestane	T	breast neoplasms
diazoxide	T	arteriosclerosis
rasagiline	T	ischemia
glutathione	T	hypertension
olmesartan	T	myotonic dystrophy
celecoxib	T	spondylitis ankylosing
vandetanib	T	respiratory tract neoplasms
chlorambucil	T	amyloidosis
nicergoline	T	cerebrovascular disorders
hydroxyurea	T	eosinophilia
nicardipine	T	arthritis rheumatoid
testosterone	T	steroid metabolism inborn errors
flucytosine	T	urinary bladder diseases
clomipramine	T	intracranial embolism and thrombosis
risedronate	T	arthritis rheumatoid
irbesartan	T	cardiomyopathy dilated
cyclosporine	T	pancreatitis
octreotide	T	sleep disorders intrinsic
megestrol acetate	T	genital neoplasms female
moxifloxacin	T	neurobehavioral manifestations
gabapentin	T	neuromuscular manifestations
anastrozole	T	liver cirrhosis
simvastatin	T	pain
suprofen	T	pain
melatonin	T	headache disorders
glycine	T	renal tubular transport inborn errors
ceftriaxone	T	enterocolitis
sulfadimethoxine	T	skin diseases
fluorouracil	T	ventricular fibrillation
bosutinib	T	respiratory tract neoplasms
voriconazole	T	leukopenia
aminolevulinic acid	T	gastrointestinal neoplasms
azacitidine	T	lymphoma
deferoxamine	T	intracranial hemorrhages
ethanol	T	abortion habitual
testosterone	T	kidney diseases
prednisone	T	cataract
pioglitazone	T	bone density
promethazine	T	pain
carbachol	T	hyperinsulinism
azathioprine	T	lymphoma
enoxaparin	T	liver neoplasms
phenytoin	T	dyskinesias
nicotine	T	intracranial hemorrhages
methadone	T	depressive disorder major
vitamin c	T	hepatitis
suramin	T	intestinal neoplasms
mezlocillin	T	respiratory tract infections
methoxsalen	T	xeroderma pigmentosum
perphenazine	T	carcinoma
floxuridine	T	kidney neoplasms
temsirolimus	T	carcinoma bronchogenic
thioproperazine	T	major affective disorder 7
captopril	T	arteriosclerosis
vincristine	T	leukemia
raltegravir	T	brain diseases
pioglitazone	T	adnexal diseases
carmustine	T	gastrointestinal neoplasms
cyclophosphamide	T	central nervous system neoplasms
deferiprone	T	iron overload
ketamine	T	seizures
pioglitazone	T	kidney diseases
midazolam	T	panic attacks
lapatinib	T	breast neoplasms
dexamethasone	T	respiratory hypersensitivity
acetazolamide	T	pancreatic neoplasms
clonidine	T	consciousness disorders
propofol	T	cardiomyopathy dilated
doxepin	T	death
pioglitazone	T	arthritis rheumatoid
lincomycin	T	exanthema
metipranolol	T	glaucoma
amrinone	T	heart failure
sotalol	T	cardiomyopathy dilated
indomethacin	T	inflammation
azithromycin	T	skin diseases parasitic
vitamin e	T	esophageal neoplasms
nizatidine	T	peptic ulcer
dofetilide	T	heart defects congenital
omeprazole	T	kidney diseases
tiagabine	T	epilepsy
lithium	T	pancytopenia
epinephrine	T	diabetes mellitus
glutathione	T	mental retardation x linked
rabeprazole	T	dyspepsia
carbachol	T	glaucoma
toremifene	T	carcinoma
cyproheptadine	T	steroid metabolism inborn errors
reserpine	T	drug toxicity
verapamil	T	hyperthyroidism
phenformin	T	overweight
bosentan	T	mixed connective tissue disease
warfarin	T	cardiovascular diseases
nortriptyline	T	pain
ampicillin	T	obstetric labor premature
bupropion	T	dyskinesias
methadone	T	malnutrition
procaterol	T	hypokalemia
finasteride	T	hidradenitis suppurativa
bromocriptine	T	psoriasis
enflurane	T	arteriosclerosis
erythromycin	T	urethral diseases
baclofen	T	pruritus
creatine	T	central nervous system neoplasms
imipenem	T	seizures
medroxyprogesterone acetate	T	meningioma
nitric oxide	T	osteonecrosis
cisplatin	T	adenoma
sulpiride	T	pain
baclofen	T	gram positive bacterial infections
l serine	T	peripheral nervous system diseases
salicylic acid	T	arthritis
prednisone	T	cerebrovascular disorders
choline	T	headache disorders
acetylsalicylic acid	T	liver diseases
erythromycin	T	amyloidosis
sirolimus	T	edema
pantoprazole	T	pain
calcitriol	T	respiratory tract neoplasms
tobramycin	T	kidney diseases
nitric oxide	T	neoplasms neuroepithelial
chlorpromazine	T	hypothalamic diseases
propranolol	T	liver cirrhosis
gabapentin	T	headache disorders
morphine	T	confusion
simvastatin	T	heart defects congenital
etoposide	T	lymphoma
aluminium	T	hepatitis b
ursodeoxycholic acid	T	sarcoidosis
cyclosporine	T	diabetes mellitus
mifepristone	T	body weight changes
lisinopril	T	heart failure
argatroban	T	infarction
sirolimus	T	buschke ollendorff syndrome
fludrocortisone	T	hypotension
ropinirole	T	cocaine related disorders
posaconazole	T	leukemia
caffeine	T	obsessive compulsive disorder
pentagastrin	T	neoplasms ductal lobular and medullary
allopurinol	T	macular degeneration
tenoxicam	T	pain
montelukast	T	respiratory hypersensitivity
vinblastine	T	urologic neoplasms
folic acid	T	diabetes mellitus
vemurafenib	T	inflammation
captopril	T	bronchitis
fluoxetine	T	intellectual disability
hydrocortisone	T	acute lung injury
diclofenac	T	pain
labetalol	T	thyrotoxicosis
fusidic acid	T	keratitis
levetiracetam	T	epilepsy
voriconazole	T	seizures
rosiglitazone	T	psoriasis
l arginine	T	brain diseases metabolic inborn
flupirtine	T	hypersensitivity
simvastatin	T	hyperglycemia
clozapine	T	death
simvastatin	T	intestinal neoplasms
rivaroxaban	T	embolism
bicalutamide	T	neoplasm metastasis
benzyl benzoate	T	respiratory hypersensitivity
mirtazapine	T	pain
risedronate	T	genital neoplasms male
verapamil	T	retinal diseases
levetiracetam	T	neurobehavioral manifestations
cilazapril	T	adnexal diseases
valproic acid	T	coccidiosis
cefoperazone	T	meningitis
cyclophosphamide	T	thymoma
methotrexate	T	liver failure
pregabalin	T	dyskinesias
timolol	T	obesity
silver sulfadiazine	T	dermatitis
paclitaxel	T	ascites
crizotinib	T	lymphoma non hodgkin
reserpine	T	neurotoxicity syndromes
topotecan	T	wilms tumor
l dopa	T	hypothalamic diseases
oxprenolol	T	hypertension
ketamine	T	hypotension
probucol	T	death
hydrocodone	T	hearing loss
bopindolol	T	pain
flurbiprofen	T	inflammation
calcitriol	T	kidney diseases
testosterone	T	van der woude syndrome
nicotine	T	rhinitis
lisinopril	T	atrial fibrillation
biperiden	T	dyskinesias
sildenafil	T	heart arrest
fenofibrate	T	peripheral vascular diseases
acetylsalicylic acid	T	thrombocytopenia
aluminium	T	infections
sofosbuvir	T	renal insufficiency
rivastigmine	T	cerebrovascular disorders
ribavirin	T	pneumonia
rilpivirine	T	liver cirrhosis
pyridoxine	T	overdose
ranitidine	T	gastrointestinal neoplasms
alitretinoin	T	pityriasis
ranolazine	T	pain
caffeine	T	substance withdrawal syndrome
dexamethasone	T	anemia
tolazoline	T	hypertension pulmonary
cholecalciferol	T	alcohol induced disorders
melatonin	T	myocardial ischemia
rasagiline	T	schizophrenia
fluorouracil	T	lymphedema
l histidine	T	anemia
naloxone	T	pain postoperative
trifluoperazine	T	mental disease
thalidomide	T	urologic neoplasms
dexamethasone	T	lymphoma
erythromycin	T	cerebrovascular disorders
allopurinol	T	hypertension
ethanol	T	genital neoplasms male
calcipotriol	T	dermatitis
metformin	T	respiratory tract neoplasms
thalidomide	T	body weight changes
nicotine	T	systemic inflammatory response syndrome
ajmaline	T	heart defects congenital
cefotaxime	T	hematologic diseases
epinephrine	T	hypocalcemia
cholecalciferol	T	hyperparathyroidism
amrinone	T	cardiomyopathy dilated
terbinafine	T	acquired immunodeficiency syndrome
progesterone	T	sleep disorders intrinsic
ciprofloxacin	T	sinusitis
azapropazone	T	arthritis
phenobarbital	T	cerebrovascular disorders
rosuvastatin	T	depressive disorder major
colistin	T	bacterial infections
