Drug	Indication	drug_name	drug_id	ind_name	ind_id	sem_type	TrialStatus	status	phase	DetailedStatus
"<a href=""http://www.drugbank.ca/drugs/DB00001"" target=""_blank"">Lepirudin (DBID: DB00001)</a>"	Heparin-induced thrombocytopenia with thrombosis (CUI: C0272275)	Lepirudin	DB00001	Heparin-induced thrombocytopenia with thrombosis	C0272275	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00002"" target=""_blank"">Cetuximab (DBID: DB00002)</a>"	Squamous cell carcinoma of mouth (CUI: C0585362)	Cetuximab	DB00002	Squamous cell carcinoma of mouth	C0585362	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00002"" target=""_blank"">Cetuximab (DBID: DB00002)</a>"	Squamous cell carcinoma of nose (CUI: C3163899)	Cetuximab	DB00002	Squamous cell carcinoma of nose	C3163899	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00002"" target=""_blank"">Cetuximab (DBID: DB00002)</a>"	Squamous cell carcinoma of pharynx (CUI: C1319317)	Cetuximab	DB00002	Squamous cell carcinoma of pharynx	C1319317	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00002"" target=""_blank"">Cetuximab (DBID: DB00002)</a>"	Laryngeal Squamous Cell Carcinoma (CUI: C0280324)	Cetuximab	DB00002	Laryngeal Squamous Cell Carcinoma	C0280324	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00002"" target=""_blank"">Cetuximab (DBID: DB00002)</a>"	Malignant tumor of colon (CUI: C0007102)	Cetuximab	DB00002	Malignant tumor of colon	C0007102	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00003"" target=""_blank"">Dornase alfa (DBID: DB00003)</a>"	Cystic Fibrosis (CUI: C0010674)	Dornase alfa	DB00003	Cystic Fibrosis	C0010674	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00004"" target=""_blank"">Denileukin diftitox (DBID: DB00004)</a>"	Lymphoma, T-Cell, Cutaneous (CUI: C0079773)	Denileukin diftitox	DB00004	Lymphoma, T-Cell, Cutaneous	C0079773	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00005"" target=""_blank"">Etanercept (DBID: DB00005)</a>"	Rheumatoid Arthritis (CUI: C0003873)	Etanercept	DB00005	Rheumatoid Arthritis	C0003873	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00005"" target=""_blank"">Etanercept (DBID: DB00005)</a>"	Juvenile arthritis (CUI: C3495559)	Etanercept	DB00005	Juvenile arthritis	C3495559	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00005"" target=""_blank"">Etanercept (DBID: DB00005)</a>"	Arthritis, Psoriatic (CUI: C0003872)	Etanercept	DB00005	Arthritis, Psoriatic	C0003872	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00005"" target=""_blank"">Etanercept (DBID: DB00005)</a>"	Ankylosing spondylitis (CUI: C0038013)	Etanercept	DB00005	Ankylosing spondylitis	C0038013	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00005"" target=""_blank"">Etanercept (DBID: DB00005)</a>"	Chronic small plaque psoriasis (CUI: C0406317)	Etanercept	DB00005	Chronic small plaque psoriasis	C0406317	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00007"" target=""_blank"">Leuprolide (DBID: DB00007)</a>"	Precocious Puberty (CUI: C0034013)	Leuprolide	DB00007	Precocious Puberty	C0034013	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00007"" target=""_blank"">Leuprolide (DBID: DB00007)</a>"	Endometriosis (CUI: C0014175)	Leuprolide	DB00007	Endometriosis	C0014175	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00008"" target=""_blank"">Peginterferon alfa-2a (DBID: DB00008)</a>"	Hepatitis C, Chronic (CUI: C0524910)	Peginterferon alfa-2a	DB00008	Hepatitis C, Chronic	C0524910	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00008"" target=""_blank"">Peginterferon alfa-2a (DBID: DB00008)</a>"	Hepatitis B, Chronic (CUI: C0524909)	Peginterferon alfa-2a	DB00008	Hepatitis B, Chronic	C0524909	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00009"" target=""_blank"">Alteplase (DBID: DB00009)</a>"	Ischemic stroke (CUI: C0948008)	Alteplase	DB00009	Ischemic stroke	C0948008	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00009"" target=""_blank"">Alteplase (DBID: DB00009)</a>"	Acute myocardial infarction (CUI: C0155626)	Alteplase	DB00009	Acute myocardial infarction	C0155626	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00009"" target=""_blank"">Alteplase (DBID: DB00009)</a>"	Pulmonary Embolism (CUI: C0034065)	Alteplase	DB00009	Pulmonary Embolism	C0034065	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00010"" target=""_blank"">Sermorelin (DBID: DB00010)</a>"	Pituitary dwarfism (CUI: C0013338)	Sermorelin	DB00010	Pituitary dwarfism	C0013338	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00013"" target=""_blank"">Urokinase (DBID: DB00013)</a>"	Pulmonary Embolism (CUI: C0034065)	Urokinase	DB00013	Pulmonary Embolism	C0034065	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00014"" target=""_blank"">Goserelin (DBID: DB00014)</a>"	Hormone receptor positive malignant neoplasm of breast (CUI: C1562029)	Goserelin	DB00014	Hormone receptor positive malignant neoplasm of breast	C1562029	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00014"" target=""_blank"">Goserelin (DBID: DB00014)</a>"	Endometriosis (CUI: C0014175)	Goserelin	DB00014	Endometriosis	C0014175	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00015"" target=""_blank"">Reteplase (DBID: DB00015)</a>"	Acute myocardial infarction (CUI: C0155626)	Reteplase	DB00015	Acute myocardial infarction	C0155626	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00016"" target=""_blank"">Erythropoietin (DBID: DB00016)</a>"	Anemia in chronic kidney disease (CUI: C1561828)	Erythropoietin	DB00016	Anemia in chronic kidney disease	C1561828	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00016"" target=""_blank"">Erythropoietin (DBID: DB00016)</a>"	Anemia due to chemotherapy (CUI: C1998329)	Erythropoietin	DB00016	Anemia due to chemotherapy	C1998329	Injury or Poisoning	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00017"" target=""_blank"">Salmon Calcitonin (DBID: DB00017)</a>"	Osteoporosis, Postmenopausal (CUI: C0029458)	Salmon Calcitonin	DB00017	Osteoporosis, Postmenopausal	C0029458	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00017"" target=""_blank"">Salmon Calcitonin (DBID: DB00017)</a>"	Osteitis Deformans (CUI: C0029401)	Salmon Calcitonin	DB00017	Osteitis Deformans	C0029401	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00019"" target=""_blank"">Pegfilgrastim (DBID: DB00019)</a>"	Chemotherapy-induced neutropenia (CUI: C1827687)	Pegfilgrastim	DB00019	Chemotherapy-induced neutropenia	C1827687	Pathologic Function	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00020"" target=""_blank"">Sargramostim (DBID: DB00020)</a>"	Chemotherapy-induced neutropenia (CUI: C1827687)	Sargramostim	DB00020	Chemotherapy-induced neutropenia	C1827687	Pathologic Function	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00022"" target=""_blank"">Peginterferon alfa-2b (DBID: DB00022)</a>"	Hepatitis C, Chronic (CUI: C0524910)	Peginterferon alfa-2b	DB00022	Hepatitis C, Chronic	C0524910	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00023"" target=""_blank"">Asparaginase (DBID: DB00023)</a>"	Acute lymphocytic leukemia (CUI: C0023449)	Asparaginase	DB00023	Acute lymphocytic leukemia	C0023449	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00026"" target=""_blank"">Anakinra (DBID: DB00026)</a>"	Rheumatoid Arthritis (CUI: C0003873)	Anakinra	DB00026	Rheumatoid Arthritis	C0003873	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00026"" target=""_blank"">Anakinra (DBID: DB00026)</a>"	Cryopyrin-Associated Periodic Syndromes (CUI: C2316212)	Anakinra	DB00026	Cryopyrin-Associated Periodic Syndromes	C2316212	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00026"" target=""_blank"">Anakinra (DBID: DB00026)</a>"	Chronic Infantile Neurological, Cutaneous, and Articular Syndrome (CUI: C0409818)	Anakinra	DB00026	Chronic Infantile Neurological, Cutaneous, and Articular Syndrome	C0409818	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00027"" target=""_blank"">Gramicidin D (DBID: DB00027)</a>"	Bacterial conjunctivitis (CUI: C0009768)	Gramicidin D	DB00027	Bacterial conjunctivitis	C0009768	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00027"" target=""_blank"">Gramicidin D (DBID: DB00027)</a>"	Infective blepharitis (CUI: C0729587)	Gramicidin D	DB00027	Infective blepharitis	C0729587	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00027"" target=""_blank"">Gramicidin D (DBID: DB00027)</a>"	Blepharoconjunctivitis (CUI: C0005743)	Gramicidin D	DB00027	Blepharoconjunctivitis	C0005743	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00027"" target=""_blank"">Gramicidin D (DBID: DB00027)</a>"	Bacterial keratitis (CUI: C0854211)	Gramicidin D	DB00027	Bacterial keratitis	C0854211	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00030"" target=""_blank"">Insulin Human (DBID: DB00030)</a>"	Diabetes Mellitus, Insulin-Dependent (CUI: C0011854)	Insulin Human	DB00030	Diabetes Mellitus, Insulin-Dependent	C0011854	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00030"" target=""_blank"">Insulin Human (DBID: DB00030)</a>"	Diabetes Mellitus, Non-Insulin-Dependent (CUI: C0011860)	Insulin Human	DB00030	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00030"" target=""_blank"">Insulin Human (DBID: DB00030)</a>"	Diabetes Mellitus (CUI: C0011849)	Insulin Human	DB00030	Diabetes Mellitus	C0011849	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00031"" target=""_blank"">Tenecteplase (DBID: DB00031)</a>"	Acute myocardial infarction (CUI: C0155626)	Tenecteplase	DB00031	Acute myocardial infarction	C0155626	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00035"" target=""_blank"">Desmopressin (DBID: DB00035)</a>"	Hemophilia A (CUI: C0019069)	Desmopressin	DB00035	Hemophilia A	C0019069	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00035"" target=""_blank"">Desmopressin (DBID: DB00035)</a>"	von Willebrand Disease (CUI: C0042974)	Desmopressin	DB00035	von Willebrand Disease	C0042974	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00035"" target=""_blank"">Desmopressin (DBID: DB00035)</a>"	Bedwetting (CUI: C0270327)	Desmopressin	DB00035	Bedwetting	C0270327	Mental or Behavioral Dysfunction	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00036"" target=""_blank"">Coagulation factor VIIa Recombinant Human (DBID: DB00036)</a>"	Hemophilia A (CUI: C0019069)	Coagulation factor VIIa Recombinant Human	DB00036	Hemophilia A	C0019069	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00036"" target=""_blank"">Coagulation factor VIIa Recombinant Human (DBID: DB00036)</a>"	Hemophilia B (CUI: C0008533)	Coagulation factor VIIa Recombinant Human	DB00036	Hemophilia B	C0008533	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00036"" target=""_blank"">Coagulation factor VIIa Recombinant Human (DBID: DB00036)</a>"	Thrombasthenia (CUI: C0040015)	Coagulation factor VIIa Recombinant Human	DB00036	Thrombasthenia	C0040015	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00036"" target=""_blank"">Coagulation factor VIIa Recombinant Human (DBID: DB00036)</a>"	Factor VII Deficiency (CUI: C0015503)	Coagulation factor VIIa Recombinant Human	DB00036	Factor VII Deficiency	C0015503	Congenital Abnormality	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00038"" target=""_blank"">Oprelvekin (DBID: DB00038)</a>"	Thrombocytopenia (CUI: C0040034)	Oprelvekin	DB00038	Thrombocytopenia	C0040034	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00039"" target=""_blank"">Palifermin (DBID: DB00039)</a>"	Mucositis following radiation therapy (CUI: C0392190)	Palifermin	DB00039	Mucositis following radiation therapy	C0392190	Pathologic Function	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00039"" target=""_blank"">Palifermin (DBID: DB00039)</a>"	Drug-induced mucositis (CUI: C1274988)	Palifermin	DB00039	Drug-induced mucositis	C1274988	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00040"" target=""_blank"">Glucagon recombinant (DBID: DB00040)</a>"	Hypoglycemia (CUI: C0020615)	Glucagon recombinant	DB00040	Hypoglycemia	C0020615	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00041"" target=""_blank"">Aldesleukin (DBID: DB00041)</a>"	Leukemia, Myelocytic, Acute (CUI: C0023467)	Aldesleukin	DB00041	Leukemia, Myelocytic, Acute	C0023467	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00041"" target=""_blank"">Aldesleukin (DBID: DB00041)</a>"	Metastatic Renal Cell Cancer (CUI: C0278678)	Aldesleukin	DB00041	Metastatic Renal Cell Cancer	C0278678	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00041"" target=""_blank"">Aldesleukin (DBID: DB00041)</a>"	Malignant melanoma, metastatic (CUI: C0860594)	Aldesleukin	DB00041	Malignant melanoma, metastatic	C0860594	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00043"" target=""_blank"">Omalizumab (DBID: DB00043)</a>"	Asthma (CUI: C0004096)	Omalizumab	DB00043	Asthma	C0004096	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00043"" target=""_blank"">Omalizumab (DBID: DB00043)</a>"	Chronic idiopathic urticaria (CUI: C0578870)	Omalizumab	DB00043	Chronic idiopathic urticaria	C0578870	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00046"" target=""_blank"">Insulin Lispro (DBID: DB00046)</a>"	Diabetes Mellitus, Insulin-Dependent (CUI: C0011854)	Insulin Lispro	DB00046	Diabetes Mellitus, Insulin-Dependent	C0011854	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00046"" target=""_blank"">Insulin Lispro (DBID: DB00046)</a>"	Diabetes Mellitus, Non-Insulin-Dependent (CUI: C0011860)	Insulin Lispro	DB00046	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00047"" target=""_blank"">Insulin Glargine (DBID: DB00047)</a>"	Diabetes Mellitus, Insulin-Dependent (CUI: C0011854)	Insulin Glargine	DB00047	Diabetes Mellitus, Insulin-Dependent	C0011854	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00047"" target=""_blank"">Insulin Glargine (DBID: DB00047)</a>"	Diabetes Mellitus, Non-Insulin-Dependent (CUI: C0011860)	Insulin Glargine	DB00047	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00048"" target=""_blank"">Collagenase clostridium histolyticum (DBID: DB00048)</a>"	Dupuytren's disease of finger, with contracture (CUI: C0410065)	Collagenase clostridium histolyticum	DB00048	Dupuytren's disease of finger, with contracture	C0410065	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00048"" target=""_blank"">Collagenase clostridium histolyticum (DBID: DB00048)</a>"	Peyronie Disease (CUI: C0030848)	Collagenase clostridium histolyticum	DB00048	Peyronie Disease	C0030848	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00049"" target=""_blank"">Rasburicase (DBID: DB00049)</a>"	Hyperuricemia (CUI: C0740394)	Rasburicase	DB00049	Hyperuricemia	C0740394	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00051"" target=""_blank"">Adalimumab (DBID: DB00051)</a>"	Rheumatoid Arthritis (CUI: C0003873)	Adalimumab	DB00051	Rheumatoid Arthritis	C0003873	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00051"" target=""_blank"">Adalimumab (DBID: DB00051)</a>"	Juvenile arthritis (CUI: C3495559)	Adalimumab	DB00051	Juvenile arthritis	C3495559	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00051"" target=""_blank"">Adalimumab (DBID: DB00051)</a>"	Arthritis, Psoriatic (CUI: C0003872)	Adalimumab	DB00051	Arthritis, Psoriatic	C0003872	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00051"" target=""_blank"">Adalimumab (DBID: DB00051)</a>"	Ankylosing spondylitis (CUI: C0038013)	Adalimumab	DB00051	Ankylosing spondylitis	C0038013	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00051"" target=""_blank"">Adalimumab (DBID: DB00051)</a>"	Crohn Disease (CUI: C0010346)	Adalimumab	DB00051	Crohn Disease	C0010346	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00051"" target=""_blank"">Adalimumab (DBID: DB00051)</a>"	Ulcerative Colitis (CUI: C0009324)	Adalimumab	DB00051	Ulcerative Colitis	C0009324	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00051"" target=""_blank"">Adalimumab (DBID: DB00051)</a>"	Chronic small plaque psoriasis (CUI: C0406317)	Adalimumab	DB00051	Chronic small plaque psoriasis	C0406317	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00051"" target=""_blank"">Adalimumab (DBID: DB00051)</a>"	Hidradenitis Suppurativa (CUI: C0162836)	Adalimumab	DB00051	Hidradenitis Suppurativa	C0162836	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00052"" target=""_blank"">Somatropin recombinant (DBID: DB00052)</a>"	Growth retardation (CUI: C0151686)	Somatropin recombinant	DB00052	Growth retardation	C0151686	Pathologic Function	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00052"" target=""_blank"">Somatropin recombinant (DBID: DB00052)</a>"	Prader-Willi Syndrome (CUI: C0032897)	Somatropin recombinant	DB00052	Prader-Willi Syndrome	C0032897	Congenital Abnormality	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00052"" target=""_blank"">Somatropin recombinant (DBID: DB00052)</a>"	Pituitary dwarfism (CUI: C0013338)	Somatropin recombinant	DB00052	Pituitary dwarfism	C0013338	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00052"" target=""_blank"">Somatropin recombinant (DBID: DB00052)</a>"	Turner Syndrome (CUI: C0041408)	Somatropin recombinant	DB00052	Turner Syndrome	C0041408	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00053"" target=""_blank"">Imiglucerase (DBID: DB00053)</a>"	Gaucher Disease (CUI: C0017205)	Imiglucerase	DB00053	Gaucher Disease	C0017205	Disease or Syndrome	Approved	Approved		
