compound_entity	drugbank_id	drug_name	relation	disease_entity	umls_cui	disease_name	sem_type	label	num_raw_rows
Compound::DB00107	DB00107	Oxytocin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0000810	C0000810	Incomplete spontaneous abortion	Pathologic Function	approved	1
Compound::DB00917	DB00917	Dinoprostone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0000810	C0000810	Incomplete spontaneous abortion	Pathologic Function	approved	1
Compound::DB01160	DB01160	Dinoprost Tromethamine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0000810	C0000810	Incomplete spontaneous abortion	Pathologic Function	approved	1
Compound::DB09125	DB09125	Potassium Citrate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001126	C0001126	Renal tubular acidosis	Disease or Syndrome	approved	1
Compound::DB00199	DB00199	Erythromycin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00210	DB00210	Adapalene	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00250	DB00250	Dapsone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00254	DB00254	Doxycycline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00548	DB00548	Azelaic Acid	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00634	DB00634	Sulfacetamide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00655	DB00655	Estrone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00681	DB00681	Amphotericin B	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00717	DB00717	Norethisterone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00741	DB00741	Hydrocortisone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00755	DB00755	Tretinoin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00759	DB00759	Tetracycline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00783	DB00783	Estradiol	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00799	DB00799	Tazarotene	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00936	DB00936	Salicylic acid	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00957	DB00957	Norgestimate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00977	DB00977	Ethinyl Estradiol	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB01017	DB01017	Minocycline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB01190	DB01190	Clindamycin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB01380	DB01380	Cortisone acetate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB01395	DB01395	Drospirenone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB02701	DB02701	Nicotinamide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
