compound_entity	drugbank_id	drug_name	relation	disease_entity	umls_cui	disease_name	sem_type	label	num_raw_rows
Compound::DB00929	DB00929	Misoprostol	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0000814	C0000814	Missed abortion	Disease or Syndrome	failed_like	1
Compound::DB00435	DB00435	Nitric Oxide	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001127	C0001127	Acidosis, Respiratory	Disease or Syndrome	failed_like	1
Compound::DB00988	DB00988	Dopamine	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001206	C0001206	Acromegaly	Disease or Syndrome	failed_like	1
Compound::DB09099	DB09099	Somatostatin	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001206	C0001206	Acromegaly	Disease or Syndrome	failed_like	1
Compound::DB00054	DB00054	Abciximab	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001314	C0001314	Acute Disease	Disease or Syndrome	failed_like	1
Compound::DB00112	DB00112	Bevacizumab	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	1
Compound::DB00126	DB00126	Vitamin C	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	1
Compound::DB00398	DB00398	Sorafenib	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	1
Compound::DB00399	DB00399	Zoledronic acid	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	1
Compound::DB00515	DB00515	Cisplatin	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	1
Compound::DB00526	DB00526	Oxaliplatin	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	1
Compound::DB00544	DB00544	Fluorouracil	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	4
Compound::DB00762	DB00762	Capecitabine	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	1
Compound::DB00851	DB00851	Dacarbazine	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	1
Compound::DB00853	DB00853	Temozolomide	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	1
Compound::DB00958	DB00958	Capecitabine	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	1
Compound::DB01101	DB01101	Bevacizumab	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001418	C0001418	Adenocarcinoma	Neoplastic Process	failed_like	2
Compound::DB00530	DB00530	Erlotinib	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001624	C0001624	Adrenal Gland Neoplasms	Neoplastic Process	failed_like	1
Compound::DB06366	DB06366	Pertuzumab	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001624	C0001624	Adrenal Gland Neoplasms	Neoplastic Process	failed_like	1
Compound::DB00834	DB00834	Mifepristone	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001723	C0001723	Affective Disorders, Psychotic	Mental or Behavioral Dysfunction	failed_like	1
Compound::DB01268	DB01268	Sunitinib	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001815	C0001815	Primary Myelofibrosis	Neoplastic Process	failed_like	1
Compound::DB00909	DB00909	Zonisamide	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001956	C0001956	alcohol use disorder	Mental or Behavioral Dysfunction	failed_like	1
Compound::DB00273	DB00273	Topiramate	repoDB::failed_or_suspended::Compound:Disease	Disease::UMLS:C0001973	C0001973	Alcoholic Intoxication, Chronic	Mental or Behavioral Dysfunction	failed_like	1
