raw_row_index	drug_name	drugbank_id	compound_entity	disease_name	umls_cui	disease_entity	sem_type	status_raw	trial_status_raw	detailed_status_raw	phase_raw	label	relation	is_positive	is_failed_like	valid_drugbank_and_cui	source_dataset	setting
0	Lepirudin	DB00001	Compound::DB00001	Heparin-induced thrombocytopenia with thrombosis	C0272275	Disease::UMLS:C0272275	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
1	Cetuximab	DB00002	Compound::DB00002	Squamous cell carcinoma of mouth	C0585362	Disease::UMLS:C0585362	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
2	Cetuximab	DB00002	Compound::DB00002	Squamous cell carcinoma of nose	C3163899	Disease::UMLS:C3163899	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
3	Cetuximab	DB00002	Compound::DB00002	Squamous cell carcinoma of pharynx	C1319317	Disease::UMLS:C1319317	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
4	Cetuximab	DB00002	Compound::DB00002	Laryngeal Squamous Cell Carcinoma	C0280324	Disease::UMLS:C0280324	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
5	Cetuximab	DB00002	Compound::DB00002	Malignant tumor of colon	C0007102	Disease::UMLS:C0007102	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
6	Dornase alfa	DB00003	Compound::DB00003	Cystic Fibrosis	C0010674	Disease::UMLS:C0010674	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
7	Denileukin diftitox	DB00004	Compound::DB00004	Lymphoma, T-Cell, Cutaneous	C0079773	Disease::UMLS:C0079773	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
8	Etanercept	DB00005	Compound::DB00005	Rheumatoid Arthritis	C0003873	Disease::UMLS:C0003873	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
9	Etanercept	DB00005	Compound::DB00005	Juvenile arthritis	C3495559	Disease::UMLS:C3495559	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
10	Etanercept	DB00005	Compound::DB00005	Arthritis, Psoriatic	C0003872	Disease::UMLS:C0003872	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
